company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
CJ ENM,035760,00265324,2017,반기보고서,11012,CFS,000,정상,149,True
CJ ENM,035760,00265324,2017,반기보고서,11012,OFS,000,정상,97,True
CJ ENM,035760,00265324,2017,분기보고서_1분기,11013,CFS,000,정상,174,True
CJ ENM,035760,00265324,2017,분기보고서_1분기,11013,OFS,000,정상,112,True
CJ ENM,035760,00265324,2017,분기보고서_3분기,11014,CFS,000,정상,154,True
CJ ENM,035760,00265324,2017,분기보고서_3분기,11014,OFS,000,정상,98,True
CJ ENM,035760,00265324,2017,사업보고서,11011,CFS,000,정상,176,True
CJ ENM,035760,00265324,2017,사업보고서,11011,OFS,000,정상,118,True
CJ ENM,035760,00265324,2018,반기보고서,11012,CFS,000,정상,170,True
CJ ENM,035760,00265324,2018,반기보고서,11012,OFS,000,정상,113,True
CJ ENM,035760,00265324,2018,분기보고서_1분기,11013,CFS,000,정상,159,True
CJ ENM,035760,00265324,2018,분기보고서_1분기,11013,OFS,000,정상,98,True
CJ ENM,035760,00265324,2018,분기보고서_3분기,11014,CFS,000,정상,252,True
CJ ENM,035760,00265324,2018,분기보고서_3분기,11014,OFS,000,정상,157,True
CJ ENM,035760,00265324,2018,사업보고서,11011,CFS,000,정상,251,True
CJ ENM,035760,00265324,2018,사업보고서,11011,OFS,000,정상,156,True
CJ ENM,035760,00265324,2019,반기보고서,11012,CFS,000,정상,178,True
CJ ENM,035760,00265324,2019,반기보고서,11012,OFS,000,정상,121,True
CJ ENM,035760,00265324,2019,분기보고서_1분기,11013,CFS,000,정상,170,True
CJ ENM,035760,00265324,2019,분기보고서_1분기,11013,OFS,000,정상,118,True
CJ ENM,035760,00265324,2019,분기보고서_3분기,11014,CFS,000,정상,193,True
CJ ENM,035760,00265324,2019,분기보고서_3분기,11014,OFS,000,정상,131,True
CJ ENM,035760,00265324,2019,사업보고서,11011,CFS,000,정상,230,True
CJ ENM,035760,00265324,2019,사업보고서,11011,OFS,000,정상,145,True
CJ ENM,035760,00265324,2020,반기보고서,11012,CFS,000,정상,188,True
CJ ENM,035760,00265324,2020,반기보고서,11012,OFS,000,정상,122,True
CJ ENM,035760,00265324,2020,분기보고서_1분기,11013,CFS,000,정상,183,True
CJ ENM,035760,00265324,2020,분기보고서_1분기,11013,OFS,000,정상,117,True
CJ ENM,035760,00265324,2020,분기보고서_3분기,11014,CFS,000,정상,194,True
CJ ENM,035760,00265324,2020,분기보고서_3분기,11014,OFS,000,정상,124,True
CJ ENM,035760,00265324,2020,사업보고서,11011,CFS,000,정상,233,True
CJ ENM,035760,00265324,2020,사업보고서,11011,OFS,000,정상,149,True
CJ ENM,035760,00265324,2021,반기보고서,11012,CFS,000,정상,183,True
CJ ENM,035760,00265324,2021,반기보고서,11012,OFS,000,정상,118,True
CJ ENM,035760,00265324,2021,분기보고서_1분기,11013,CFS,000,정상,178,True
CJ ENM,035760,00265324,2021,분기보고서_1분기,11013,OFS,000,정상,110,True
CJ ENM,035760,00265324,2021,분기보고서_3분기,11014,CFS,000,정상,187,True
CJ ENM,035760,00265324,2021,분기보고서_3분기,11014,OFS,000,정상,118,True
CJ ENM,035760,00265324,2021,사업보고서,11011,CFS,000,정상,214,True
CJ ENM,035760,00265324,2021,사업보고서,11011,OFS,000,정상,136,True
CJ ENM,035760,00265324,2022,반기보고서,11012,CFS,000,정상,193,True
CJ ENM,035760,00265324,2022,반기보고서,11012,OFS,000,정상,121,True
CJ ENM,035760,00265324,2022,분기보고서_1분기,11013,CFS,000,정상,185,True
CJ ENM,035760,00265324,2022,분기보고서_1분기,11013,OFS,000,정상,116,True
CJ ENM,035760,00265324,2022,분기보고서_3분기,11014,CFS,000,정상,184,True
CJ ENM,035760,00265324,2022,분기보고서_3분기,11014,OFS,000,정상,124,True
CJ ENM,035760,00265324,2022,사업보고서,11011,CFS,000,정상,194,True
CJ ENM,035760,00265324,2022,사업보고서,11011,OFS,000,정상,134,True
CJ ENM,035760,00265324,2023,반기보고서,11012,CFS,000,정상,179,True
CJ ENM,035760,00265324,2023,반기보고서,11012,OFS,000,정상,128,True
CJ ENM,035760,00265324,2023,분기보고서_1분기,11013,CFS,000,정상,173,True
CJ ENM,035760,00265324,2023,분기보고서_1분기,11013,OFS,000,정상,123,True
CJ ENM,035760,00265324,2023,분기보고서_3분기,11014,CFS,000,정상,227,True
CJ ENM,035760,00265324,2023,분기보고서_3분기,11014,OFS,000,정상,147,True
CJ ENM,035760,00265324,2023,사업보고서,11011,CFS,000,정상,246,True
CJ ENM,035760,00265324,2023,사업보고서,11011,OFS,000,정상,150,True
CJ ENM,035760,00265324,2024,반기보고서,11012,CFS,000,정상,200,True
CJ ENM,035760,00265324,2024,반기보고서,11012,OFS,000,정상,138,True
CJ ENM,035760,00265324,2024,분기보고서_1분기,11013,CFS,000,정상,233,True
CJ ENM,035760,00265324,2024,분기보고서_1분기,11013,OFS,000,정상,135,True
CJ ENM,035760,00265324,2024,분기보고서_3분기,11014,CFS,000,정상,209,True
CJ ENM,035760,00265324,2024,분기보고서_3분기,11014,OFS,000,정상,141,True
CJ ENM,035760,00265324,2024,사업보고서,11011,CFS,000,정상,230,True
CJ ENM,035760,00265324,2024,사업보고서,11011,OFS,000,정상,150,True
CJ ENM,035760,00265324,2025,반기보고서,11012,CFS,000,정상,218,True
CJ ENM,035760,00265324,2025,반기보고서,11012,OFS,000,정상,142,True
CJ ENM,035760,00265324,2025,분기보고서_1분기,11013,CFS,000,정상,216,True
CJ ENM,035760,00265324,2025,분기보고서_1분기,11013,OFS,000,정상,138,True
