index_name,거래일,시가,고가,저가,종가,거래량,거래대금,market
코스피,20180102,2474.86,2481.02,2465.94,2479.65,262120550,4785979837050,KOSPI
코스닥,20180102,803.63,813.40,800.54,812.45,909282427,6424684236034,KOSDAQ
코스피,20180103,2484.63,2493.40,2481.91,2486.35,331002236,6019179101234,KOSPI
코스닥,20180103,816.30,824.18,812.22,822.31,1121716110,7866093093561,KOSDAQ
코스피,20180104,2502.50,2502.50,2466.45,2466.46,333728938,6895777041788,KOSPI
코스닥,20180104,825.11,825.57,802.83,808.01,1185557406,7888280198189,KOSDAQ
코스피,20180105,2476.85,2497.52,2475.51,2497.52,308680712,6317098862716,KOSPI
코스닥,20180105,812.05,828.04,812.05,828.03,1117337727,7467546749474,KOSDAQ
코스피,20180108,2510.70,2515.37,2494.18,2513.28,311294225,6404246299016,KOSPI
코스닥,20180108,836.07,840.06,829.28,839.51,1172102684,8364690244659,KOSDAQ
코스피,20180109,2510.73,2524.73,2498.41,2510.23,373998352,7343938144569,KOSPI
코스닥,20180109,841.39,843.56,827.29,829.99,1137580988,9321474274410,KOSDAQ
코스피,20180110,2516.33,2516.82,2493.98,2499.75,443796667,8576874398349,KOSPI
코스닥,20180110,837.63,841.25,820.89,834.91,1060326710,7436633203138,KOSDAQ
코스피,20180111,2496.86,2502.52,2483.82,2487.91,444112331,7788236468153,KOSPI
코스닥,20180111,835.23,852.51,830.37,852.51,1245933319,7818647520056,KOSDAQ
코스피,20180112,2499.87,2500.87,2482.15,2496.42,438568283,8771205367008,KOSPI
코스닥,20180112,863.07,886.65,857.33,873.05,1133525644,11909715570382,KOSDAQ
코스피,20180115,2510.97,2513.30,2496.18,2503.73,404396847,6117920349291,KOSPI
코스닥,20180115,879.56,892.29,865.68,891.61,980120753,10523960124968,KOSDAQ
코스피,20180116,2504.16,2524.55,2498.55,2521.74,341326162,6912415527989,KOSPI
코스닥,20180116,889.23,901.23,884.76,901.23,972118704,9723742142087,KOSDAQ
코스피,20180117,2517.19,2521.97,2506.49,2515.43,336577309,6325124257851,KOSPI
